iter	Passed	Remaining
1579	2615	13934
1580	2617	13935
1581	2618	13933
1582	2619	13929
1583	2621	13924
1584	2622	13922
1585	2623	13918
1586	2625	13915
1587	2626	13911
1588	2629	13917
1589	2631	13915
1590	2632	13913
1591	2634	13911
1592	2635	13909
1593	2637	13907
1594	2639	13905
1595	2640	13904
1596	2643	13907
1597	2644	13904
1598	2647	13907
1599	2649	13906
1600	2650	13903
1601	2651	13899
1602	2652	13894
1603	2654	13891
1604	2655	13889
1605	2657	13890
1606	2659	13886
1607	2660	13882
1608	2661	13878
1609	2662	13874
1610	2663	13870
1611	2665	13868
1612	2666	13865
1613	2668	13862
1614	2670	13862
1615	2671	13859
1616	2673	13857
1617	2674	13853
1618	2675	13849
1619	2676	13845
1620	2678	13841
1621	2679	13838
1622	2680	13834
1623	2682	13832
1624	2683	13829
1625	2685	13828
1626	2686	13824
1627	2688	13821
1628	2689	13818
1629	2690	13815
1630	2691	13811
1631	2693	13807
1632	2694	13803
1633	2695	13799
1634	2696	13795
1635	2699	13800
1636	2701	13797
1637	2702	13794
1638	2703	13790
1639	2705	13787
1640	2706	13785
1641	2707	13781
1642	2709	13778
1643	2710	13774
1644	2711	13771
1645	2713	13772
1646	2715	13769
1647	2716	13766
1648	2717	13762
1649	2719	13758
1650	2720	13754
1651	2721	13753
1652	2723	13749
1653	2724	13746
1654	2725	13743
1655	2727	13742
1656	2729	13739
1657	2730	13736
1658	2731	13732
1659	2733	13729
1660	2734	13726
1661	2735	13722
1662	2736	13718
1663	2738	13715
1664	2739	13711
1665	2741	13713
1666	2743	13710
1667	2744	13706
1668	2745	13703
1669	2747	13700
1670	2748	13698
1671	2749	13694
1672	2750	13690
1673	2752	13686
1674	2753	13684
1675	2755	13685
1676	2757	13682
1677	2758	13679
1678	2759	13675
1679	2760	13671
1680	2762	13667
1681	2763	13664
1682	2764	13661
1683	2766	13658
1684	2768	13658
1685	2769	13655
1686	2770	13651
1687	2772	13649
1688	2773	13647
1689	2775	13644
1690	2776	13640
1691	2777	13636
1692	2779	13634
1693	2780	13630
1694	2783	13635
1695	2784	13633
1696	2786	13631
1697	2788	13630
1698	2789	13628
1699	2791	13627
1700	2792	13624
1701	2794	13624
1702	2796	13625
1703	2798	13623
1704	2799	13619
1705	2800	13615
1706	2802	13611
1707	2803	13608
1708	2804	13606
1709	2806	13603
1710	2807	13599
1711	2809	13597
1712	2810	13595
1713	2811	13591
1714	2813	13588
1715	2814	13586
1716	2816	13583
1717	2817	13579
1718	2818	13576
1719	2819	13572
1720	2821	13570
1721	2823	13569
1722	2825	13570
1723	2826	13566
1724	2827	13562
1725	2828	13558
1726	2830	13555
1727	2831	13552
1728	2832	13549
