iter	RMSE
875	19601.45014
876	19597.96749
877	19595.12614
878	19591.26304
879	19587.89471
880	19580.78247
881	19579.53848
882	19575.97898
883	19572.33735
884	19569.7043
885	19565.90242
886	19563.46346
887	19559.18375
888	19556.52087
889	19554.30899
890	19551.29518
891	19548.68709
892	19545.7156
893	19542.67013
894	19540.33647
895	19537.34061
896	19534.85166
897	19531.53918
898	19528.15023
899	19521.91207
900	19516.70325
901	19511.08932
902	19506.46136
903	19501.98981
904	19499.30122
905	19496.4736
906	19494.24794
907	19488.69479
908	19482.81767
909	19479.42906
910	19477.09856
911	19472.3817
912	19468.1939
913	19465.31074
914	19461.04563
915	19457.65436
916	19455.13146
917	19454.10774
918	19451.93228
919	19448.35111
920	19445.81678
921	19443.83316
922	19439.2199
923	19436.47721
924	19431.66703
925	19426.1918
926	19423.29645
927	19419.9052
928	19417.94021
929	19414.86412
930	19409.88231
931	19407.29748
932	19404.10348
933	19401.14858
934	19395.0138
935	19392.11599
936	19389.75212
937	19387.52438
938	19385.54499
939	19379.44345
940	19376.99106
941	19373.64626
942	19369.73912
943	19367.01414
944	19365.03528
945	19361.60311
946	19359.27277
947	19357.4975
948	19352.9328
949	19349.72584
950	19346.1267
951	19342.99004
952	19339.82411
953	19337.00629
954	19333.85944
955	19330.26229
956	19328.4116
957	19325.21763
958	19321.45193
959	19317.13805
960	19315.20549
961	19311.78405
962	19309.07255
963	19305.23364
964	19302.8679
965	19299.29515
966	19297.20861
967	19293.37006
968	19290.784
969	19287.9669
970	19286.94408
971	19284.06414
972	19280.41504
973	19278.19022
974	19275.15786
975	19272.50853
976	19268.90519
977	19266.39832
978	19264.04829
979	19261.81663
980	19260.13133
981	19255.01746
982	19252.39789
983	19249.32707
984	19247.14641
985	19244.67796
986	19243.0913
987	19239.31186
988	19236.73214
989	19235.11785
990	19232.09954
991	19229.37421
992	19226.96007
993	19224.52216
994	19220.9809
995	19217.96405
996	19212.52022
997	19207.42171
998	19204.43124
999	19202.00138
1000	19198.16906
1001	19195.20676
1002	19190.63929
1003	19187.59774
1004	19182.78352
1005	19178.68138
1006	19174.98825
1007	19170.64333
1008	19167.33619
1009	19164.76007
1010	19162.63968
1011	19159.43939
1012	19155.66724
1013	19153.5345
1014	19149.55027
1015	19144.7803
1016	19140.56976
1017	19137.65987
1018	19135.22767
1019	19131.7014
1020	19127.51174
1021	19124.13343
1022	19120.18811
1023	19117.04743
1024	19112.87915
1025	19111.12381
1026	19108.51175
1027	19106.65649
1028	19102.99084
1029	19099.93271
1030	19096.02071
1031	19093.55096
1032	19089.43384
1033	19086.62173
1034	19084.74081
1035	19081.14912
1036	19077.54654
1037	19074.5226
1038	19070.03123
1039	19067.36773
1040	19063.74109
1041	19061.72112
1042	19059.46889
1043	19057.39366
1044	19055.13344
1045	19052.85361
1046	19049.33037
1047	19048.23154
1048	19044.62394
1049	19040.91058
1050	19038.45652
1051	19035.50511
1052	19031.99302
1053	19028.58968
1054	19026.12552
1055	19023.68589
1056	19018.77196
1057	19017.54462
1058	19014.61867
1059	19011.22227
1060	19010.25829
1061	19008.14352
1062	19003.58928
1063	19002.40445
1064	18997.37402
1065	18994.36591
1066	18992.40208
1067	18989.28549
1068	18985.84654
1069	18981.20433
1070	18978.23981
1071	18974.16755
1072	18971.46108
1073	18968.53964
1074	18963.38834
1075	18960.59989
1076	18958.65956
1077	18955.48461
1078	18949.59229
1079	18944.59095
1080	18942.58954
1081	18940.1114
1082	18936.89532
1083	18934.19164
1084	18932.12948
1085	18930.13962
1086	18928.37491
1087	18926.44641
1088	18922.73082
1089	18918.9572
1090	18915.25072
1091	18910.42725
1092	18908.73051
1093	18905.27783
1094	18903.4991
1095	18898.58055
1096	18895.42037
1097	18891.29311
1098	18888.24287
1099	18885.54393
1100	18883.5832
1101	18879.48697
1102	18876.64223
1103	18872.88574
1104	18869.45198
1105	18864.39671
1106	18861.77257
1107	18860.15598
1108	18857.47026
1109	18855.39763
1110	18852.44494
1111	18848.74195
1112	18844.53033
1113	18841.79271
1114	18837.99968
1115	18834.47563
1116	18833.14923
1117	18830.29397
1118	18828.36769
1119	18826.87994
1120	18824.49071
1121	18820.56767
1122	18819.23861
1123	18816.55653
1124	18813.9778
1125	18811.27959
1126	18809.14727
1127	18804.89887
1128	18802.55901
1129	18800.14676
1130	18798.21126
1131	18795.603
1132	18792.91127
1133	18790.9694
1134	18789.0753
1135	18787.2299
1136	18783.78928
1137	18779.26706
1138	18776.51661
1139	18772.95123
1140	18769.00342
1141	18766.55812
1142	18764.87081
1143	18763.4472
1144	18760.89447
1145	18758.28359
1146	18755.1066
1147	18751.6952
1148	18748.01827
1149	18746.1064
1150	18742.61531
1151	18739.73551
1152	18738.11928
1153	18733.78663
1154	18728.43358
1155	18725.29178
1156	18721.88848
1157	18717.32055
1158	18714.02604
1159	18711.42986
1160	18708.49312
1161	18704.36776
1162	18701.35165
1163	18698.51976
1164	18694.00042
1165	18691.99775
1166	18687.32666
1167	18683.52602
1168	18680.33321
1169	18676.19132
1170	18673.10811
1171	18669.14915
1172	18664.69106
1173	18662.04627
1174	18658.84664
1175	18655.70414
1176	18652.31667
1177	18647.11528
1178	18645.05117
1179	18641.01944
1180	18638.25856
1181	18636.33867
1182	18634.70281
1183	18629.88397
1184	18626.71721
1185	18623.4396
1186	18619.95518
1187	18616.24223
1188	18611.78432
1189	18606.75211
1190	18603.65953
1191	18600.8013
1192	18599.38835
1193	18597.06535
1194	18595.08197
1195	18591.01819
1196	18586.87336
1197	18584.73032
1198	18579.2049
1199	18576.90027
1200	18574.61083
1201	18570.89369
1202	18569.29314
1203	18567.50753
1204	18562.72826
1205	18560.04294
1206	18557.10806
1207	18554.04856
1208	18552.10311
1209	18549.39412
1210	18546.89178
1211	18542.66674
1212	18540.59479
1213	18537.62575
1214	18535.2354
1215	18531.29582
1216	18526.47474
1217	18525.09902
1218	18519.66812
1219	18516.49427
1220	18513.11897
1221	18510.55946
1222	18505.89787
1223	18503.31047
1224	18500.10482
1225	18496.85583
1226	18495.59721
1227	18492.82576
1228	18491.51261
1229	18488.20539
1230	18485.65314
1231	18481.72795
1232	18479.78339
1233	18477.31088
1234	18472.56342
1235	18469.20292
1236	18465.16333
1237	18462.12868
1238	18460.22807
1239	18456.2131
1240	18452.81425
1241	18448.01631
1242	18445.90491
1243	18441.68557
1244	18439.37141
1245	18436.54798
1246	18433.4345
1247	18428.8063
1248	18425.16329
1249	18422.26629
1250	18418.81602
1251	18414.86973
1252	18412.5565
1253	18409.75667
1254	18407.50388
1255	18404.96714
1256	18403.60186
1257	18400.06533
1258	18397.26127
1259	18395.46977
1260	18391.28329
1261	18388.32836
1262	18385.51864
1263	18381.54145
1264	18379.42115
1265	18377.53144
1266	18373.55349
1267	18371.16269
1268	18367.31462
1269	18365.52399
1270	18363.07401
1271	18361.4844
1272	18358.25537
1273	18355.40907
1274	18350.78947
1275	18347.81913
1276	18342.83603
1277	18341.59433
1278	18338.10462
1279	18336.1317
1280	18331.89422
1281	18329.63183
1282	18327.80807
1283	18324.92066
1284	18323.1541
1285	18319.09543
1286	18316.82758
1287	18312.95945
1288	18308.51474
1289	18303.78795
1290	18300.92686
1291	18297.78844
1292	18294.22041
1293	18291.70177
1294	18287.90534
1295	18285.22909
1296	18282.10947
1297	18279.47886
1298	18276.64475
1299	18272.89478
1300	18270.28698
1301	18267.85625
1302	18264.9599
1303	18263.57601
1304	18259.06256
1305	18254.69129
1306	18252.1501
1307	18248.67805
1308	18245.37874
1309	18240.19939
1310	18236.25087
1311	18231.94696
1312	18227.64013
1313	18225.14796
1314	18221.62169
1315	18218.01858
1316	18214.01232
1317	18211.90903
1318	18207.45077
1319	18204.14061
1320	18201.65607
1321	18198.4998
1322	18192.79498
1323	18190.14139
1324	18188.20732
1325	18184.79696
1326	18180.6837
1327	18179.32563
1328	18176.29529
1329	18172.85945
1330	18169.40596
1331	18164.84941
1332	18161.56394
1333	18160.09504
1334	18156.59736
1335	18153.87201
1336	18151.22562
1337	18146.79772
1338	18145.34529
1339	18141.37743
1340	18138.93281
1341	18136.31281
1342	18133.13396
1343	18129.69191
1344	18128.14177
1345	18124.92123
1346	18121.50473
1347	18118.89249
1348	18115.68165
1349	18111.44429
1350	18108.43774
1351	18106.31557
1352	18103.04574
1353	18100.31603
1354	18095.82757
1355	18092.10339
1356	18089.37742
1357	18086.81395
1358	18083.82729
1359	18082.27996
1360	18080.26391
1361	18076.57011
1362	18073.67963
1363	18072.01061
1364	18068.60007
1365	18067.12523
1366	18065.58665
1367	18063.01889
1368	18060.77585
1369	18059.26105
1370	18055.03344
1371	18050.69816
1372	18047.07997
1373	18043.81112
1374	18039.4014
1375	18036.5296
1376	18033.09051
1377	18029.96227
1378	18027.61672
1379	18025.64684
1380	18021.21752
1381	18018.40155
1382	18014.96034
1383	18010.6852
1384	18007.68308
1385	18004.58604
1386	18001.86557
1387	17999.2824
1388	17996.7591
1389	17994.13899
1390	17991.43321
1391	17988.14066
1392	17985.15394
1393	17981.493
1394	17978.16218
1395	17975.53686
1396	17972.38708
1397	17969.44114
1398	17966.31817
1399	17962.70601
1400	17959.7824
1401	17957.85443
1402	17954.75724
1403	17949.58571
1404	17947.13048
1405	17942.78006
1406	17938.91914
1407	17937.1764
1408	17935.2077
1409	17933.97054
1410	17931.64678
1411	17927.85947
1412	17925.22594
1413	17923.8978
1414	17921.11025
1415	17917.3934
1416	17913.63071
1417	17908.59118
1418	17905.97014
1419	17902.47301
1420	17898.39763
1421	17894.46477
1422	17889.34145
1423	17887.39636
1424	17884.95703
1425	17883.04081
1426	17878.42756
1427	17874.20206
1428	17871.73798
1429	17868.35454
1430	17865.84637
1431	17862.0032
1432	17858.64251
1433	17856.17618
1434	17851.51299
1435	17848.87722
1436	17846.94658
1437	17844.17829
1438	17841.40879
1439	17837.81806
1440	17835.58815
1441	17831.77274
1442	17828.94585
1443	17826.54866
1444	17824.40808
1445	17821.5984
1446	17818.36143
1447	17814.80378
1448	17811.36884
1449	17807.82553
1450	17804.2055
1451	17801.32314
1452	17798.5764
1453	17795.62445
1454	17792.00937
1455	17789.01344
1456	17786.22738
1457	17784.8518
1458	17782.52318
1459	17779.00015
1460	17776.91416
1461	17774.94629
1462	17772.19334
1463	17769.34352
1464	17764.51191
1465	17763.20776
1466	17760.6602
1467	17756.35403
1468	17753.39389
1469	17750.61359
1470	17748.72981
1471	17744.46213
1472	17742.87367
1473	17738.59216
1474	17736.08965
1475	17734.13452
1476	17732.90001
1477	17730.92804
1478	17728.89392
1479	17727.02507
1480	17724.44296
1481	17723.44113
1482	17720.28583
1483	17717.69685
1484	17715.52067
1485	17710.61271
1486	17708.95328
1487	17705.06575
1488	17701.06847
1489	17697.63967
1490	17694.10431
1491	17692.08424
1492	17689.45093
1493	17686.2939
1494	17684.02846
1495	17680.79343
1496	17679.47346
1497	17674.16252
1498	17672.31821
1499	17669.18055
1500	17665.83583
1501	17662.05909
1502	17658.71078
1503	17656.45328
1504	17652.31583
1505	17647.69515
1506	17645.9554
1507	17643.19279
1508	17639.26261
1509	17636.55408
1510	17634.38855
1511	17631.47689
1512	17629.83195
1513	17627.44025
1514	17624.44311
1515	17620.72388
1516	17616.37046
1517	17613.99874
1518	17611.61484
1519	17608.87593
1520	17606.12773
1521	17602.36089
1522	17598.54527
1523	17596.7055
1524	17593.2713
1525	17591.12505
1526	17589.36385
1527	17586.70863
1528	17584.21356
1529	17579.3854
1530	17577.04483
1531	17574.09822
1532	17570.5114
1533	17567.68665
1534	17564.73985
1535	17563.32084
